211|45|68|ver8.0.2.805|2016-09-11
212|55|21|ver23.0.0.207|
213|35|87|ver55.0.2883.75|2016-12-07
214|73|101|ver15.4.22|
215|45|74|ver4.0.9|2016-04-12
216|53|1|ver21.0.0.176|2016-04-03
217|31|80|ver2.0.2|2012-11-02
218|24|61|ver1516.1.0|
219|42|56|ver2.0.0.372|
220|2|38|ver4|2016-10-24
221|44|63|ver50.1.0|
222|57|84|ver10.8.364.0|2011-11-28
223|43|14|ver2.14.0|2013-08-26
224|25|7|ver3.0.20.0|2016-11-24
225|26|29|ver1.4.20|2016-11-11
226|31|87|ver55.0.2883.75|2016-12-08
227|7|104|ver1.2.61|2015-02-25
228|70|30|ver2.1.2|2016-08-25
229|67|86|ver2.5.8.0|2014-09-16
230|4|74|ver4.0.12|2016-11-23
231|70|97|ver2.8.18|2016-08-27
232|68|88|ver1.1.11|
233|66|49|ver7.1.7.2606|2016-11-22
234|63|87|ver54.0.2840.99|2016-11-23
235|55|83|ver3.9.141.259|
236|56|9|ver5.24|
237|21|36|ver1.1.9.13|2014-08-30
238|31|12|ver15.020.20042|2016-11-07
239|76|30|ver2.1.2|2016-04-25
240|63|67|ver12.2.5.195|
241|24|68|ver8.0.2.805|2016-08-24
242|73|67|ver12.2.5.195|
243|16|9|ver5.24|
244|20|81|ver2.36|2016-08-19
245|54|97|ver2.8.18|2016-08-19
246|1|9|ver5.24|
247|21|54|ver1.4.1|
248|52|22|ver4.5.7.6389|2016-11-06
249|62|81|ver2.38|2016-11-06
250|59|57|ver5.2.3.3|2016-12-13
251|23|49|ver7.1.7.2606|2016-11-23
252|20|83|ver3.9.141.259|
253|18|46|ver23.0.0.205|
254|73|12|ver15.020.20042|2016-11-07
255|33|83|ver3.9.141.259|
256|55|1|ver23.0.0.257|2016-09-14
257|71|88|ver2.2.4|
258|12|21|ver23.0.0.207|
259|9|83|ver3.9.141.259|
260|62|102|ver16.04|
261|54|91|ver0.6.2|2012-09-02
262|65|34|ver8.0.1010.13|2016-09-08
263|18|50|ver3.0.6|
264|29|86|ver2.5.8.0|2014-08-30
265|24|61|ver1415.1.0|
266|14|89|ver3.22.2.2|
267|50|102|ver16.04|
268|29|21|ver24.0.0.186|
269|63|74|ver4.0.12|2016-11-23
270|63|19|ver4.42|
271|39|65|ver4.9.9.2|
272|34|29|ver1.4.20|2016-04-28
273|54|49|ver7.1.7.2606|2016-11-05
274|2|44|ver1.0.0|
275|69|88|ver2.2.4|
276|66|36|ver1.2.8.12|2016-05-01
277|4|81|ver2.39|2016-11-23
278|23|64|ver41.0.2353.69|
279|62|103|ver12.5.0|2016-11-06
280|40|14|ver2.14.0|2014-12-04
281|70|86|ver2.5.8.0|2014-02-23
282|36|58|ver16.4.3528.0331|2016-09-05
283|10|63|ver50.0.2|
284|43|30|ver2.1.2|2016-03-21
285|62|88|ver2.2.4|
286|59|29|ver1.4.20|2016-05-03
287|23|19|ver4.42|
288|33|14|ver2.14.0|2013-08-29
289|1|62|ver7.0.102|2015-04-15
290|19|53|ver9.5.5|2014-11-27
291|35|30|ver2.1.2|2016-04-03
292|76|29|ver1.4.20|2016-04-25
293|34|12|ver15.020.20042|2016-11-07
294|15|22|ver4.5.7.6389|2016-11-05
295|56|7|ver3.0.20.0|2016-11-24
296|76|86|ver2.5.8.0|2013-12-14
297|56|74|ver4.0.12|2016-11-23
298|61|14|ver2.14.0|2015-06-25
299|11|97|ver2.8.18|2016-11-03
300|8|9|ver5.24|
301|25|21|ver24.0.0.186|
302|4|48|ver1.32.3889.0961|2016-11-23
303|17|63|ver50.0.2|
304|2|102|ver16.04|
305|21|49|ver7.1.7.2606|2016-11-05
306|37|50|ver3.0.6|
307|33|67|ver12.2.5.195|
308|14|64|ver12.15.1748|
309|4|28|ver7.2.2|
310|53|51||2016-04-04
311|11|59|ver255|2016-11-04
312|8|64|ver41.0.2353.69|
313|24|48|ver1.32.3889.0961|2016-11-28
314|34|102|ver16.02|
315|47|12|ver15.020.20042|2016-11-08
316|31|30|ver2.0.6|2015-02-04
317|5|88|ver2.2.4|
318|29|97|ver2.8.18|2016-09-10
319|15|97|ver2.8.18|2016-08-19
320|56|60|ver0.91|2016-11-23
321|8|14|ver2.14.0|2013-05-16
322|41|97|ver2.8.18|2016-08-20
323|34|96||2015-01-17
324|59|22|ver4.5.6.5844|2015-09-12
325|17|21|ver23.0.0.207|
326|59|30|ver2.1.2|2016-03-22
327|22|28|ver7.2.2|
328|7|2|ver5.1|
329|59|36|ver1.2.8.12|2015-12-07
330|12|46|ver23.0.0.207|
331|9|63|ver50.1.0|
332|25|78|ver3.3.1|2016-11-24
333|36|44|ver1.0.0|
334|73|39|ver0.67|2016-04-23
335|12|74|ver4.0.10|2016-08-19
336|33|19|ver4.42|
337|40|74|ver4.0.12|2016-09-18
338|8|29|ver1.4.20|2016-04-25
339|11|103|ver12.5.0|2016-11-03
340|2|1|ver24.0.0.180|2016-12-14
341|41|83|ver3.9.141.259|
342|59|67|ver12.2.5.195|
343|60|60|ver0.91|2016-11-23
344|57|9|ver5.24|
345|52|74|ver4.0.12|2016-11-06
